タイトル,投稿日,再生数,高評価,コメント数,取得日
「仁愛 × 仁愛」❤️Juice=Juice #林仁愛 さんと一緒に #FUNKYSUMMER ☀️🪩@j@juicejuice#juicejuice#八木仁愛 #僕が見たかった青空,2026-06-10,24747,793,16,2026-06-11
【ハイキング】MBTIが真逆の2人で高尾山へ！3周年記念ライブの晴天祈願！,2026-06-10,6192,476,71,2026-06-11
あんのー🐱がふりふりし続ける10秒間。#安納蒼衣 #僕が見たかった青空 #僕青 #どりーむじゃんぼ,2026-06-10,3650,285,15,2026-06-11
#モナキ さんと一緒に  #FUNKYSUMMER ☀️🪩モナキさんの大ファンである #金澤亜美 と #須永心海 がコラボさせていただきました🎀🫧 #僕が見たかった青空,2026-06-09,14671,648,14,2026-06-11
昼休み🏫 8th SINGLE「#FUNKYSUMMER 」 Music Video公開中☀️ #僕が見たかった青空 #僕青,2026-06-09,15246,682,14,2026-06-11
#いぎなり東北産 #伊達花彩 さん #吉瀬真珠 さんと一緒に  #FUNKYステップ🪩💃@madeintohoku #僕が見たかった青空,2026-06-08,11637,529,7,2026-06-11
🎤「君と見た空は」フリーライブにて披露！☀️ #僕が見たかった青空 #僕青 #杉浦英恋 #君と見た空は,2026-06-08,9631,398,6,2026-06-11
#榊原樹里 さんと一緒に #FUNKYSUMMER ☀️🪩ショートドラマでの共演ありがとうございました💙 #早﨑すずき  #僕が見たかった青空 #僕青,2026-06-07,15360,673,9,2026-06-11
友達が転校するってなった時、めっちゃ寂しくなったことある？？　#僕が見たかった青空 #FUNKYSUMMER #ショートドラマ,2026-06-07,42973,744,13,2026-06-11
「空色の水しぶき」☀️ すーてぃんチッケム📹 #僕が見たかった青空 #僕青  早﨑すずき#空色の水しぶき,2026-06-07,8270,583,12,2026-06-11
HMVエソラ池袋店さんでステッカーお渡し会💿ありがとうございました❣️#FUNKYSUMMER で素敵な夏を過ごしましょう~🪩☀️💙 #僕が見たかった青空 #僕青,2026-06-07,7934,318,2,2026-06-11
僕青自己紹介リレー🎥💙☀️☁️今年も全員で自己紹介リレーをやってみました！💙 これからも僕青と一緒に青春しましょう🏫✨ #僕が見たかった青空 #僕青　#自己紹介 #青空について考える,2026-06-06,12988,583,29,2026-06-11
タワーレコード アリオ亀有店店さんでステッカーお渡し会💿ありがとうございました❣️ #FUNKYSUMMER で素敵な夏を過ごしましょう~🪩☀️💙 #僕が見たかった青空 #僕青,2026-06-06,13148,546,10,2026-06-11
僕が見たかった青空 /「FUNKY SUMMER」Official Performance Video,2026-06-06,19738,946,60,2026-06-11
エレンの雑談と言っても過言ではない。#1,2026-06-05,7234,338,8,2026-06-11
#小林ゆあ界隈 に「工藤ゆあ」参戦❣️コラボありがとうございました✨ #小林ゆあ さん #工藤唯愛 #僕が見たかった青空 #僕青,2026-06-05,9006,301,13,2026-06-11
